,Title,Img,Disc,Rating,Review,Price,Discount
0,Potato 1 kg,,500 g,4.2,"(5,237)",₹20,47% off
1,Budweiser Non-Alcoholic Can,,330 ml,3.5,(309),₹48,40% off
2,Shubhalaxmi Food Peanut (Whole),,250 g,4.2,(943),₹19,62% off
3,SAVE HEALTH Poha,,0.5 kg,4.2,(134),₹29,58% off
4,Ghadi Detergent Bar,,"800 g, Pack of 5",4.1,(248),₹40,35% off
5,Sreebhog Dalia Broken Wheat,,500 g,4.2,(336),₹21,40% off
6,colin Glass Cleaner Pump,,250 ml,4.1,(376),₹60,50% off
7,MAYBELLINE NEW YORK Colossal Kajal Promo,,"Black, 0.7 g",4.5,"(38,569)",₹187,45% off
8,realme Buds Air 2 with Active Noise Cancellation (ANC) ...,,"Closer Black, True Wireless",4.7,(100),"₹3,299",34% off
9,Kissan Mixed Fruit Jam 100 g,,100 g,4.4,"(2,265)",₹20,14% off
10,Potato 1 kg,,500 g,4.2,"(5,237)",₹20,47% off
11,Budweiser Non-Alcoholic Can,,330 ml,3.5,(309),₹48,40% off
12,Shubhalaxmi Food Peanut (Whole),,250 g,4.2,(943),₹19,62% off
13,SAVE HEALTH Poha,,0.5 kg,4.2,(134),₹29,58% off
14,Ghadi Detergent Bar,,"800 g, Pack of 5",4.1,(248),₹40,35% off
15,Sreebhog Dalia Broken Wheat,,500 g,4.2,(336),₹21,40% off
16,colin Glass Cleaner Pump,,250 ml,4.1,(376),₹60,50% off
17,MAYBELLINE NEW YORK Colossal Kajal Promo,,"Black, 0.7 g",4.5,"(38,569)",₹187,45% off
18,realme Buds Air 2 with Active Noise Cancellation (ANC) ...,,"Closer Black, True Wireless",4.7,(100),"₹3,299",34% off
19,Kissan Mixed Fruit Jam 100 g,,100 g,4.4,"(2,265)",₹20,14% off
20,Potato 1 kg,,500 g,4.2,"(5,237)",₹20,47% off
21,Budweiser Non-Alcoholic Can,,330 ml,3.5,(309),₹48,40% off
22,Shubhalaxmi Food Peanut (Whole),,250 g,4.2,(943),₹19,62% off
23,SAVE HEALTH Poha,,0.5 kg,4.2,(134),₹29,58% off
24,Ghadi Detergent Bar,,"800 g, Pack of 5",4.1,(248),₹40,35% off
25,Sreebhog Dalia Broken Wheat,,500 g,4.2,(336),₹21,40% off
26,colin Glass Cleaner Pump,,250 ml,4.1,(376),₹60,50% off
27,MAYBELLINE NEW YORK Colossal Kajal Promo,,"Black, 0.7 g",4.5,"(38,569)",₹187,45% off
28,realme Buds Air 2 with Active Noise Cancellation (ANC) ...,,"Closer Black, True Wireless",4.7,(100),"₹3,299",34% off
29,Kissan Mixed Fruit Jam 100 g,,100 g,4.4,"(2,265)",₹20,14% off
30,Potato 1 kg,,500 g,4.2,"(5,237)",₹20,47% off
31,Budweiser Non-Alcoholic Can,,330 ml,3.5,(309),₹48,40% off
32,Shubhalaxmi Food Peanut (Whole),,250 g,4.2,(943),₹19,62% off
33,SAVE HEALTH Poha,,0.5 kg,4.2,(134),₹29,58% off
34,Ghadi Detergent Bar,,"800 g, Pack of 5",4.1,(248),₹40,35% off
35,Sreebhog Dalia Broken Wheat,,500 g,4.2,(336),₹21,40% off
36,colin Glass Cleaner Pump,,250 ml,4.1,(376),₹60,50% off
37,MAYBELLINE NEW YORK Colossal Kajal Promo,,"Black, 0.7 g",4.5,"(38,569)",₹187,45% off
38,realme Buds Air 2 with Active Noise Cancellation (ANC) ...,,"Closer Black, True Wireless",4.7,(100),"₹3,299",34% off
39,Kissan Mixed Fruit Jam 100 g,,100 g,4.4,"(2,265)",₹20,14% off
40,Potato 1 kg,,500 g,4.2,"(5,237)",₹20,47% off
41,Budweiser Non-Alcoholic Can,,330 ml,3.5,(309),₹48,40% off
42,Shubhalaxmi Food Peanut (Whole),,250 g,4.2,(943),₹19,62% off
43,SAVE HEALTH Poha,,0.5 kg,4.2,(134),₹29,58% off
44,Ghadi Detergent Bar,,"800 g, Pack of 5",4.1,(248),₹40,35% off
45,Sreebhog Dalia Broken Wheat,,500 g,4.2,(336),₹21,40% off
46,colin Glass Cleaner Pump,,250 ml,4.1,(376),₹60,50% off
47,MAYBELLINE NEW YORK Colossal Kajal Promo,,"Black, 0.7 g",4.5,"(38,569)",₹187,45% off
48,realme Buds Air 2 with Active Noise Cancellation (ANC) ...,,"Closer Black, True Wireless",4.7,(100),"₹3,299",34% off
49,Kissan Mixed Fruit Jam 100 g,,100 g,4.4,"(2,265)",₹20,14% off
50,Watermelon Kiran 1 Units,,1.75 - 2.5 Kg,3.9,"(3,446)",₹27,51% off
51,Kabuli Chana,,500 g,4.3,"(4,464)",₹19,78% off
52,Budweiser Non-Alcoholic Can,,330 ml,3.5,(309),₹48,40% off
53,Parle's Cream n Onion Flavour Wafers,,70 g,4,(582),₹14,53% off
54,Vim Dishwash Bar,,300 g,4.1,(731),₹17,15% off
55,Tata  Crystal Iodized Salt,,1 kg,4.3,(848),₹18,35% off
56,Saffola Tasty Pro Fitness Conscious Blended Oil Can,,5 L,4.5,(338),₹726,12% off
57,Rajdhani Kabuli Chana (Whole),,500 g,4.3,(897),₹19,73% off
58,HE Respect Perfume Body Spray  -  For Men,,150 ml,4.1,"(2,124)",₹95,50% off
59,PARLE Khatta Meetha Mixture,,750 g,4.1,"(1,288)",₹74,63% off
60,Potato 1 kg,,500 g,4.2,"(5,237)",₹20,47% off
61,Budweiser Non-Alcoholic Can,,330 ml,3.5,(309),₹48,40% off
62,Shubhalaxmi Food Peanut (Whole),,250 g,4.2,(943),₹19,62% off
63,SAVE HEALTH Poha,,0.5 kg,4.2,(134),₹29,58% off
64,Ghadi Detergent Bar,,"800 g, Pack of 5",4.1,(248),₹40,35% off
65,Sreebhog Dalia Broken Wheat,,500 g,4.2,(336),₹21,40% off
66,colin Glass Cleaner Pump,,250 ml,4.1,(376),₹60,50% off
67,MAYBELLINE NEW YORK Colossal Kajal Promo,,"Black, 0.7 g",4.5,"(38,569)",₹187,45% off
68,realme Buds Air 2 with Active Noise Cancellation (ANC) ...,,"Closer Black, True Wireless",4.7,(100),"₹3,299",34% off
69,Kissan Mixed Fruit Jam 100 g,,100 g,4.4,"(2,265)",₹20,14% off
70,Potato 1 kg,,500 g,4.2,"(5,237)",₹20,47% off
71,Budweiser Non-Alcoholic Can,,330 ml,3.5,(309),₹48,40% off
72,Shubhalaxmi Food Peanut (Whole),,250 g,4.2,(943),₹19,62% off
73,SAVE HEALTH Poha,,0.5 kg,4.2,(134),₹29,58% off
74,Ghadi Detergent Bar,,"800 g, Pack of 5",4.1,(248),₹40,35% off
75,Sreebhog Dalia Broken Wheat,,500 g,4.2,(336),₹21,40% off
76,colin Glass Cleaner Pump,,250 ml,4.1,(376),₹60,50% off
77,MAYBELLINE NEW YORK Colossal Kajal Promo,,"Black, 0.7 g",4.5,"(38,569)",₹187,45% off
78,realme Buds Air 2 with Active Noise Cancellation (ANC) ...,,"Closer Black, True Wireless",4.7,(100),"₹3,299",34% off
79,Kissan Mixed Fruit Jam 100 g,,100 g,4.4,"(2,265)",₹20,14% off
80,Watermelon Kiran 1 Units,,1.75 - 2.5 Kg,3.9,"(3,446)",₹27,51% off
81,Kabuli Chana,,500 g,4.3,"(4,464)",₹19,78% off
82,Budweiser Non-Alcoholic Can,,330 ml,3.5,(309),₹48,40% off
83,Parle's Cream n Onion Flavour Wafers,,70 g,4,(582),₹14,53% off
84,Vim Dishwash Bar,,300 g,4.1,(731),₹17,15% off
85,Tata  Crystal Iodized Salt,,1 kg,4.3,(848),₹18,35% off
86,Saffola Tasty Pro Fitness Conscious Blended Oil Can,,5 L,4.5,(338),₹726,12% off
87,Rajdhani Kabuli Chana (Whole),,500 g,4.3,(897),₹19,73% off
88,HE Respect Perfume Body Spray  -  For Men,,150 ml,4.1,"(2,124)",₹95,50% off
89,PARLE Khatta Meetha Mixture,,750 g,4.1,"(1,288)",₹74,63% off
90,Watermelon Kiran 1 Units,,1.75 - 2.5 Kg,3.9,"(3,446)",₹27,51% off
91,Kabuli Chana,,500 g,4.3,"(4,464)",₹19,78% off
92,Budweiser Non-Alcoholic Can,,330 ml,3.5,(309),₹48,40% off
93,Parle's Cream n Onion Flavour Wafers,,70 g,4,(582),₹14,53% off
94,Vim Dishwash Bar,,300 g,4.1,(731),₹17,15% off
95,Tata  Crystal Iodized Salt,,1 kg,4.3,(848),₹18,35% off
96,Saffola Tasty Pro Fitness Conscious Blended Oil Can,,5 L,4.5,(338),₹726,12% off
97,Rajdhani Kabuli Chana (Whole),,500 g,4.3,(897),₹19,73% off
98,HE Respect Perfume Body Spray  -  For Men,,150 ml,4.1,"(2,124)",₹95,50% off
99,PARLE Khatta Meetha Mixture,,750 g,4.1,"(1,288)",₹74,63% off
100,Watermelon Kiran 1 Units,,1.75 - 2.5 Kg,3.9,"(3,446)",₹27,51% off
101,Kabuli Chana,,500 g,4.3,"(4,464)",₹19,78% off
102,Budweiser Non-Alcoholic Can,,330 ml,3.5,(309),₹48,40% off
103,Parle's Cream n Onion Flavour Wafers,,70 g,4,(582),₹14,53% off
104,Vim Dishwash Bar,,300 g,4.1,(731),₹17,15% off
105,Tata  Crystal Iodized Salt,,1 kg,4.3,(848),₹18,35% off
106,Saffola Tasty Pro Fitness Conscious Blended Oil Can,,5 L,4.5,(338),₹726,12% off
107,Rajdhani Kabuli Chana (Whole),,500 g,4.3,(897),₹19,73% off
108,HE Respect Perfume Body Spray  -  For Men,,150 ml,4.1,"(2,124)",₹95,50% off
109,PARLE Khatta Meetha Mixture,,750 g,4.1,"(1,288)",₹74,63% off
110,Potato 1 kg,,500 g,4.2,"(5,237)",₹20,47% off
111,Budweiser Non-Alcoholic Can,,330 ml,3.5,(309),₹48,40% off
112,Shubhalaxmi Food Peanut (Whole),,250 g,4.2,(943),₹19,62% off
113,SAVE HEALTH Poha,,0.5 kg,4.2,(134),₹29,58% off
114,Ghadi Detergent Bar,,"800 g, Pack of 5",4.1,(248),₹40,35% off
115,Sreebhog Dalia Broken Wheat,,500 g,4.2,(336),₹21,40% off
116,colin Glass Cleaner Pump,,250 ml,4.1,(376),₹60,50% off
117,MAYBELLINE NEW YORK Colossal Kajal Promo,,"Black, 0.7 g",4.5,"(38,569)",₹187,45% off
118,realme Buds Air 2 with Active Noise Cancellation (ANC) ...,,"Closer Black, True Wireless",4.7,(100),"₹3,299",34% off
119,Kissan Mixed Fruit Jam 100 g,,100 g,4.4,"(2,265)",₹20,14% off
120,Potato 1 kg,,500 g,4.2,"(5,237)",₹20,47% off
121,Budweiser Non-Alcoholic Can,,330 ml,3.5,(309),₹48,40% off
122,Shubhalaxmi Food Peanut (Whole),,250 g,4.2,(943),₹19,62% off
123,SAVE HEALTH Poha,,0.5 kg,4.2,(134),₹29,58% off
124,Ghadi Detergent Bar,,"800 g, Pack of 5",4.1,(248),₹40,35% off
125,Sreebhog Dalia Broken Wheat,,500 g,4.2,(336),₹21,40% off
126,colin Glass Cleaner Pump,,250 ml,4.1,(376),₹60,50% off
127,MAYBELLINE NEW YORK Colossal Kajal Promo,,"Black, 0.7 g",4.5,"(38,569)",₹187,45% off
128,realme Buds Air 2 with Active Noise Cancellation (ANC) ...,,"Closer Black, True Wireless",4.7,(100),"₹3,299",34% off
129,Kissan Mixed Fruit Jam 100 g,,100 g,4.4,"(2,265)",₹20,14% off
130,Watermelon Kiran 1 Units,,1.75 - 2.5 Kg,3.9,"(3,446)",₹27,51% off
131,Kabuli Chana,,500 g,4.3,"(4,464)",₹19,78% off
132,Budweiser Non-Alcoholic Can,,330 ml,3.5,(309),₹48,40% off
133,Parle's Cream n Onion Flavour Wafers,,70 g,4,(582),₹14,53% off
134,Vim Dishwash Bar,,300 g,4.1,(731),₹17,15% off
135,Tata  Crystal Iodized Salt,,1 kg,4.3,(848),₹18,35% off
136,Saffola Tasty Pro Fitness Conscious Blended Oil Can,,5 L,4.5,(338),₹726,12% off
137,Rajdhani Kabuli Chana (Whole),,500 g,4.3,(897),₹19,73% off
